#Ensembl Gene ID,Ensembl Transcript ID,Associated Gene Name,Chromosome Name,Strand,Transcription Start Site (TSS),APPRIS principal isoform annotation
ENSMUSG00000051777,ENSMUST00000063263,Iqcj,3,1,67892220,APPRIS principal isoform [04-11-2014]
ENSMUSG00000008438,ENSMUST00000008582,Adam21,12,-1,81568474,APPRIS principal isoform [04-11-2014]
ENSMUSG00000074305,ENSMUST00000061552,Peak1,9,-1,56418067,APPRIS principal isoform [04-11-2014]
ENSMUSG00000064057,ENSMUST00000043873,Scgb3a1,11,1,49663610,APPRIS principal isoform [04-11-2014]
ENSMUSG00000048349,ENSMUST00000053016,Pou4f1,14,-1,104467999,APPRIS principal isoform [04-11-2014]
ENSMUSG00000094221,ENSMUST00000105200,Vmn1r124,7,-1,21260617,APPRIS principal isoform [04-11-2014]
ENSMUSG00000074442,ENSMUST00000098896,Defa-rs7,8,1,21191614,APPRIS principal isoform [04-11-2014]
ENSMUSG00000040867,ENSMUST00000190647,Begain,12,-1,109068217,APPRIS principal isoform [04-11-2014]
ENSMUSG00000096294,ENSMUST00000174433,Gm10302,7,-1,9572288,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095629,ENSMUST00000053008,Vmn1r89,7,1,13219339,APPRIS principal isoform [04-11-2014]
ENSMUSG00000019370,ENSMUST00000019514,Calm3,7,-1,16924114,APPRIS principal isoform [04-11-2014]
ENSMUSG00000092035,ENSMUST00000166678,Peg10,6,1,4747306,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095066,ENSMUST00000084042,Defa20,8,1,21509258,APPRIS principal isoform [04-11-2014]
ENSMUSG00000037683,ENSMUST00000049255,Armc3,2,1,19199302,APPRIS principal isoform [04-11-2014]
ENSMUSG00000051687,ENSMUST00000055070,Vmn1r73,7,1,11756257,APPRIS principal isoform [04-11-2014]
ENSMUSG00000023906,ENSMUST00000024699,Cldn6,17,1,23679365,APPRIS principal isoform [04-11-2014]
ENSMUSG00000003190,ENSMUST00000003290,Bcl2l12,7,-1,44997579,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095163,ENSMUST00000179206,Vmn1r138,7,-1,22028897,APPRIS principal isoform [04-11-2014]
ENSMUSG00000022798,ENSMUST00000122078,4930435E12Rik,16,-1,38828749,APPRIS principal isoform [04-11-2014]
ENSMUSG00000015652,ENSMUST00000015796,Steap1,5,-1,5749326,APPRIS principal isoform [04-11-2014]
ENSMUSG00000079502,ENSMUST00000189711,1700101E01Rik,2,-1,29055039,APPRIS principal isoform [04-11-2014]
ENSMUSG00000002032,ENSMUST00000114705,Tmem25,9,-1,44799242,APPRIS principal isoform [04-11-2014]
ENSMUSG00000002032,ENSMUST00000002100,Tmem25,9,-1,44799307,APPRIS principal isoform [04-11-2014]
ENSMUSG00000092148,ENSMUST00000167326,Gm8005,14,-1,42439673,APPRIS principal isoform [04-11-2014]
ENSMUSG00000099917,ENSMUST00000072972,Vmn1r215,13,1,23075792,APPRIS principal isoform [04-11-2014]
ENSMUSG00000058207,ENSMUST00000043058,Serpina3k,12,1,104338486,APPRIS principal isoform [04-11-2014]
ENSMUSG00000047824,ENSMUST00000060061,Pygo2,3,1,89430261,APPRIS principal isoform [04-11-2014]
ENSMUSG00000070873,ENSMUST00000117550,Lilra5,7,1,4237754,APPRIS principal isoform [04-11-2014]
ENSMUSG00000026735,ENSMUST00000028068,Ptf1a,2,1,19445663,APPRIS principal isoform [04-11-2014]
ENSMUSG00000069270,ENSMUST00000171127,Hist1h2ac,13,-1,23683924,APPRIS principal isoform [04-11-2014]
ENSMUSG00000002608,ENSMUST00000002683,Ccdc97,7,-1,25719088,APPRIS principal isoform [04-11-2014]
ENSMUSG00000057799,ENSMUST00000080253,Vmn1r216,13,1,23099149,APPRIS principal isoform [04-11-2014]
ENSMUSG00000038903,ENSMUST00000043929,Ccdc68,18,1,69925466,APPRIS principal isoform [04-11-2014]
ENSMUSG00000068889,ENSMUST00000090867,Lce1e,3,-1,92709074,APPRIS principal isoform [04-11-2014]
ENSMUSG00000091539,ENSMUST00000165255,Vmn1r238,18,-1,3123412,APPRIS principal isoform [04-11-2014]
ENSMUSG00000047733,ENSMUST00000143303,BC048609,19,1,6080033,APPRIS principal isoform [04-11-2014]
ENSMUSG00000091656,ENSMUST00000167464,Vmn2r106,17,-1,20285430,APPRIS principal isoform [04-11-2014]
ENSMUSG00000026051,ENSMUST00000027217,1500015O10Rik,1,1,43730602,APPRIS principal isoform [04-11-2014]
ENSMUSG00000100621,ENSMUST00000162374,Gm28374,19,-1,6082256,APPRIS principal isoform [04-11-2014]
ENSMUSG00000072049,ENSMUST00000094491,Vmn2r121,X,-1,124135910,APPRIS principal isoform [04-11-2014]
ENSMUSG00000030835,ENSMUST00000033121,Nomo1,7,1,46033698,APPRIS principal isoform [04-11-2014]
ENSMUSG00000061150,ENSMUST00000076759,Vmn1r229,17,1,20814495,APPRIS principal isoform [04-11-2014]
ENSMUSG00000079022,ENSMUST00000159993,Col22a1,15,-1,72034227,APPRIS principal isoform [04-11-2014]
ENSMUSG00000103897,ENSMUST00000066149,PCDHGB6,18,1,37725706,APPRIS principal isoform [04-11-2014]
ENSMUSG00000050919,ENSMUST00000056558,Zfp366,13,1,99184823,APPRIS principal isoform [04-11-2014]
ENSMUSG00000062878,ENSMUST00000077800,Olfr298,7,-1,86489549,APPRIS principal isoform [04-11-2014]
ENSMUSG00000067613,ENSMUST00000023718,5430421N21Rik,15,-1,101491512,APPRIS principal isoform [04-11-2014]
ENSMUSG00000032020,ENSMUST00000044155,Ubash3b,9,-1,41158062,APPRIS principal isoform [04-11-2014]
ENSMUSG00000096122,ENSMUST00000178181,Gm21943,Y,-1,57533744,APPRIS principal isoform [04-11-2014]
ENSMUSG00000061544,ENSMUST00000182603,Zfp229,17,1,21735912,APPRIS principal isoform [04-11-2014]
ENSMUSG00000061544,ENSMUST00000065871,Zfp229,17,1,21733724,APPRIS principal isoform [04-11-2014]
ENSMUSG00000046615,ENSMUST00000059466,Actrt1,X,1,46329007,APPRIS principal isoform [04-11-2014]
ENSMUSG00000047390,ENSMUST00000057076,Defb9,8,-1,21885421,APPRIS principal isoform [04-11-2014]
ENSMUSG00000094149,ENSMUST00000167253,Gm8453,7,-1,22229484,APPRIS principal isoform [04-11-2014]
ENSMUSG00000037197,ENSMUST00000040314,Rbm17,2,-1,11603262,APPRIS principal isoform [04-11-2014]
ENSMUSG00000035829,ENSMUST00000040324,Ppp1r26,2,1,28447941,APPRIS principal isoform [04-11-2014]
ENSMUSG00000025911,ENSMUST00000144177,Adhfe1,1,1,9547948,APPRIS principal isoform [04-11-2014]
ENSMUSG00000035829,ENSMUST00000189694,Ppp1r26,2,1,28447941,APPRIS principal isoform [04-11-2014]
ENSMUSG00000001175,ENSMUST00000110082,Calm1,12,1,100199435,APPRIS principal isoform [04-11-2014]
ENSMUSG00000096283,ENSMUST00000178209,Gm6176,7,-1,22051504,APPRIS principal isoform [04-11-2014]
ENSMUSG00000032023,ENSMUST00000034521,4931429I11Rik,9,-1,40964118,APPRIS principal isoform [04-11-2014]
ENSMUSG00000068950,ENSMUST00000091006,Olfr338,2,1,36376778,APPRIS principal isoform [04-11-2014]
ENSMUSG00000093485,ENSMUST00000132298,Gm20708,11,1,117809668,APPRIS principal isoform [04-11-2014]
ENSMUSG00000062210,ENSMUST00000148989,Tnfaip8,18,1,49979427,APPRIS principal isoform [04-11-2014]
ENSMUSG00000024797,ENSMUST00000159832,Vps51,19,-1,6080324,APPRIS principal isoform [04-11-2014]
ENSMUSG00000074491,ENSMUST00000062037,Clec4g,8,-1,3720651,APPRIS principal isoform [04-11-2014]
ENSMUSG00000063522,ENSMUST00000077004,2010109I03Rik,15,-1,74881704,APPRIS principal isoform [04-11-2014]
ENSMUSG00000037169,ENSMUST00000043396,Mycn,12,-1,12941914,APPRIS principal isoform [04-11-2014]
ENSMUSG00000038181,ENSMUST00000121863,Chpf2,5,1,24586741,APPRIS principal isoform [04-11-2014]
ENSMUSG00000037169,ENSMUST00000130990,Mycn,12,-1,12940616,APPRIS principal isoform [04-11-2014]
ENSMUSG00000046807,ENSMUST00000051129,Lrrc75b,10,-1,75560330,APPRIS principal isoform [04-11-2014]
ENSMUSG00000038181,ENSMUST00000088295,Chpf2,5,1,24586744,APPRIS principal isoform [04-11-2014]
