#Associated Gene Name	Strand	Ensembl Transcript ID	Transcription Start Site (TSS)	Chromosome Name
AB015752.3	-1	ENST00000521975	90620070	8
AB019440.50	1	ENST00000605005	106206603	14
ABBA01010927.1	1	ENST00000622943	16053818	14
ABBA01010927.2	-1	ENST00000624465	16031983	14
ABBA01014710.1	-1	ENST00000624131	28577476	20
ABBA01015879.1	1	ENST00000624040	29106001	20
ABBA01031658.1	-1	ENST00000623614	29301042	20
ABBA01031663.1	-1	ENST00000624771	29450406	20
ABBA01031674.1	-1	ENST00000623315	29880463	20
ABC12-49244600F4.4	-1	ENST00000619522	7116486	12
AC000003.1	1	ENST00000408559	10070890	17
AC000029.1	1	ENST00000408142	23136620	22
AC000067.1	1	ENST00000452326	19667023	22
AC000124.1	1	ENST00000448311	127476883	7
AC000403.1	-1	ENST00000579275	76886400	13
AC000403.4	1	ENST00000613696	76887551	13
AC001226.7	1	ENST00000620512	77027944	13
AC002064.5	1	ENST00000445784	90312496	7
AC002066.2	-1	ENST00000401257	116345944	7
AC002070.1	1	ENST00000410715	119580792	12
AC002072.1	-1	ENST00000610880	112978318	X
AC002115.5	1	ENST00000453968	35597907	19
AC002115.9	-1	ENST00000589603	35612666	19
AC002116.8	-1	ENST00000473572	36014235	19
AC002127.4	1	ENST00000444032	88710631	7
AC002331.1	-1	ENST00000443373	26594813	16
AC002366.1	1	ENST00000616044	11465953	X
AC002383.2	1	ENST00000448260	89443974	7
AC002386.1	-1	ENST00000436714	109326315	7
AC002389.1	-1	ENST00000621873	35553895	19
AC002395.1	-1	ENST00000581907	111487578	12
AC002429.1	-1	ENST00000616624	95156671	7
AC002463.3	1	ENST00000453459	112622378	7
AC002480.2	-1	ENST00000414116	22665533	7
AC002511.2	-1	ENST00000413796	35424652	19
AC002511.3	-1	ENST00000428426	35434642	19
AC002539.2	-1	ENST00000516291	69948947	17
AC002558.1	1	ENST00000408089	47118502	17
AC002978.1	1	ENST00000408332	111073968	12
AC002979.1	1	ENST00000408459	111302800	12
AC002981.1	-1	ENST00000516302	12148401	X
AC003001.1	1	ENST00000584664	85244095	X
AC003005.2	1	ENST00000595422	57477649	19
AC003005.2	1	ENST00000594562	57477699	19
AC003006.1	1	ENST00000582304	57738465	19
AC003013.1	1	ENST00000613553	109870352	X
AC003084.2	-1	ENST00000427030	118004045	7
AC003088.1	-1	ENST00000435466	110534754	7
AC003090.1	-1	ENST00000423689	25662941	7
AC003090.1	-1	ENST00000446840	25663053	7
AC003090.1	-1	ENST00000456777	25750994	7
AC003092.1	1	ENST00000415536	94022833	7
