#Ensembl Gene ID,Ensembl Transcript ID,Associated Gene Name,Chromosome Name,Strand,Transcription Start Site (TSS),APPRIS principal isoform annotation
ENSG00000180383,ENST00000317676,DEFB124,20,-1,31473013,APPRIS principal isoform [04-11-2014]
ENSG00000162444,ENST00000294435,RBP7,1,1,9997216,APPRIS principal isoform [04-11-2014]
ENSG00000101400,ENST00000217381,SNTA1,20,-1,33443892,APPRIS principal isoform [04-11-2014]
ENSG00000196368,ENST00000375992,NUDT11,X,-1,51496596,APPRIS principal isoform [04-11-2014]
ENSG00000167360,ENST00000300778,OR51Q1,11,1,5422111,APPRIS principal isoform [04-11-2014]
ENSG00000104671,ENST00000221114,DCTN6,8,1,30156297,APPRIS principal isoform [04-11-2014]
ENSG00000181544,ENST00000324138,FANCB,X,-1,14873069,APPRIS principal isoform [04-11-2014]
ENSG00000257950,ENST00000550383,P2RX5-TAX1BP3,17,-1,3696194,APPRIS principal isoform [04-11-2014]
ENSG00000181544,ENST00000398334,FANCB,X,-1,14873062,APPRIS principal isoform [04-11-2014]
ENSG00000205339,ENST00000379719,IPO7,11,1,9384622,APPRIS principal isoform [04-11-2014]
ENSG00000198791,ENST00000361272,CNOT7,8,-1,17246878,APPRIS principal isoform [04-11-2014]
ENSG00000101350,ENST00000375712,KIF3B,20,1,32277664,APPRIS principal isoform [04-11-2014]
ENSG00000004961,ENST00000321143,HCCS,X,1,11111301,APPRIS principal isoform [04-11-2014]
ENSG00000004961,ENST00000380763,HCCS,X,1,11111342,APPRIS principal isoform [04-11-2014]
ENSG00000004961,ENST00000380762,HCCS,X,1,11111365,APPRIS principal isoform [04-11-2014]
ENSG00000232263,ENST00000416044,KRTAP25-1,21,-1,30289514,APPRIS principal isoform [04-11-2014]
ENSG00000198798,ENST00000361644,MAGEB3,X,1,30230436,APPRIS principal isoform [04-11-2014]
ENSG00000198798,ENST00000620842,MAGEB3,X,1,30235894,APPRIS principal isoform [04-11-2014]
ENSG00000167311,ENST00000397068,ART5,11,-1,3642255,APPRIS principal isoform [04-11-2014]
ENSG00000132205,ENST00000254528,EMILIN2,18,1,2847030,APPRIS principal isoform [04-11-2014]
ENSG00000167311,ENST00000359918,ART5,11,-1,3642316,APPRIS principal isoform [04-11-2014]
ENSG00000264187,ENST00000427497,RP11-45M22.4,17,-1,17237185,APPRIS principal isoform [04-11-2014]
ENSG00000180182,ENST00000324817,MED14,X,-1,40735531,APPRIS principal isoform [04-11-2014]
ENSG00000212127,ENST00000537503,TAS2R14,12,-1,10939263,APPRIS principal isoform [04-11-2014]
ENSG00000005001,ENST00000161006,PRSS22,16,-1,2858170,APPRIS principal isoform [04-11-2014]
ENSG00000157399,ENST00000381134,ARSE,X,-1,2964270,APPRIS principal isoform [04-11-2014]
ENSG00000214688,ENST00000398786,C10orf105,10,-1,71737824,APPRIS principal isoform [04-11-2014]
ENSG00000214688,ENST00000441508,C10orf105,10,-1,71719821,APPRIS principal isoform [04-11-2014]
ENSG00000050344,ENST00000056233,NFE2L3,7,1,26152240,APPRIS principal isoform [04-11-2014]
ENSG00000105088,ENST00000264833,OLFM2,19,-1,9936552,APPRIS principal isoform [04-11-2014]
ENSG00000134873,ENST00000299339,CLDN10,13,1,95552725,APPRIS principal isoform [04-11-2014]
ENSG00000204252,ENST00000229829,HLA-DOA,6,-1,33009612,APPRIS principal isoform [04-11-2014]
ENSG00000198258,ENST00000586895,UBL5,19,1,9827892,APPRIS principal isoform [04-11-2014]
ENSG00000204287,ENST00000395388,HLA-DRA,6,1,32439842,APPRIS principal isoform [04-11-2014]
ENSG00000221869,ENST00000408965,CEBPD,8,-1,47739086,APPRIS principal isoform [04-11-2014]
ENSG00000125285,ENST00000376945,SOX21,13,-1,94712399,APPRIS principal isoform [04-11-2014]
ENSG00000116497,ENST00000373476,S100PBP,1,1,32817442,APPRIS principal isoform [04-11-2014]
